,2025,2026_YTD,CHANGE_AUD_BILLION,CHANGE_%
China,1.159568,0.641252,-0.5183159999999999,-44.699060339712716
Japan,0.216004,0.095547,-0.120457,-55.766096924131034
South Korea,0.232131,0.09426,-0.13787100000000002,-59.39361825865568
Taiwan,0.192861,0.101739,-0.09112200000000001,-47.24749949445456
India,0.349796,0.147018,-0.20277799999999999,-57.97035986689385
Indonesia,0.022399,0.013129,-0.009269999999999999,-41.38577615072101
Malaysia,0.256732,0.030985,-0.22574700000000003,-87.93099418849228
