COUNTRY,IMPORT_VALUE_BILLION_AUD,MARKET_SHARE_%
China,1.139801,19.152157354712664
Indonesia,0.996626,16.746377635918783
Taiwan,0.210214,3.532240808846078
South Korea,0.197627,3.320740551675073
Japan,0.192915,3.2415644801894308
India,0.183933,3.0906392946877257
Malaysia,0.112134,1.8841955857323778
Others,2.918043,49.03208428823787
