YEAR,China,Japan,South Korea
2015,0.674301,1.844095,0.111166
2016,0.478737,0.193578,0.079981
2017,0.588354,0.234914,0.115579
2018,0.77879,0.27333,0.140712
2019,0.740839,0.220179,0.08528
2020,0.694644,0.256419,0.084316
2021,0.885186,0.110281,0.114834
2022,1.17743,0.176072,0.199914
2023,1.03042,0.232483,0.17768
2024,1.139801,0.192915,0.197627
2025,1.159568,0.216004,0.232131
2026,0.641252,0.095547,0.09426
