COUNTRY,IMPORT_VALUE_BILLION_AUD,MARKET_SHARE_%
China,1.159568,21.62932880639407
India,0.349796,6.52471670411862
Malaysia,0.256732,4.78880138389742
South Korea,0.232131,4.3299209060245385
Japan,0.216004,4.029105269804225
Taiwan,0.192861,3.59742074887369
Indonesia,0.022399,0.41780674866365825
Others,2.9316,54.68289943222378
