COUNTRY,IMPORT_VALUE_BILLION_AUD,MARKET_SHARE_%
China,0.641252,23.072204170290146
India,0.147018,5.289697829726405
Taiwan,0.101739,3.660562431120915
Japan,0.095547,3.4377746843030703
South Korea,0.09426,3.391468510182501
Malaysia,0.030985,1.1148382324210142
Indonesia,0.013129,0.47238054392304324
Others,1.655397,59.56107359803291
