,2024,2025,CHANGE_AUD_BILLION,GROWTH_%
China,1.139801,1.159568,0.019766999999999868,1.7342501015527922
Japan,0.192915,0.216004,0.023089,11.968483529015362
South Korea,0.197627,0.232131,0.03450400000000001,17.459152848548023
Taiwan,0.210214,0.192861,-0.017353000000000007,-8.254921175563956
India,0.183933,0.349796,0.16586299999999998,90.17577052513685
Indonesia,0.996626,0.022399,-0.9742270000000001,-97.75251699233213
Malaysia,0.112134,0.256732,0.144598,128.95107639074678
