YEAR,COUNTRY_NAME,OBS_VALUE_AUD_COUNTRY,IMPORT_VALUE_BILLION_AUD,OBS_VALUE_AUD_MARKET,MARKET_SHARE_%,YOY_GROWTH_%,RANK_2025
2025,China,1159568000,1.159568,5361091000,21.62932880639407,1.7342501015527922,1
2025,India,349796000,0.349796,5361091000,6.52471670411862,90.17577052513685,2
2025,Malaysia,256732000,0.256732,5361091000,4.78880138389742,128.95107639074678,3
2025,South Korea,232131000,0.232131,5361091000,4.3299209060245385,17.459152848548023,4
2025,Japan,216004000,0.216004,5361091000,4.029105269804225,11.968483529015362,5
2025,Taiwan,192861000,0.192861,5361091000,3.59742074887369,-8.254921175563956,6
2025,Indonesia,22399000,0.022399,5361091000,0.41780674866365825,-97.75251699233213,7
